Day,Time,NO2_we,NO2_ae,Sensibilidad_NO2,ppb_NO2,O3_we,O3_ae,Sensibilidad_O3,ppb_03,SO2_we,SO2_ae,Sensibilidad_SO2,ppb_SO2,CO_we,CO_ae,Sensibilidad,ppb_CO,Temperatura,Humedad,ug/m3_NO2_Sensor,ug/m3_O3_Sensor,ug/m3_SO2_Sensor,ug/m3_CO_Sensor,NO2_Mompean,CO_Mompean,O3_Mompean,SO2_Mompean
'6/5/21','4:00',231.8365507,225.2907768,0.261,25.07959349,230.1621672,233.0829725,0.35,-8.345158,381.2637148,360.5742695,0.322,64.25293571,437.9034531,388.0472549,0.444,112.2887347,13.1,92.5,49.12262468,-17.0540337,175.2555986,133.9061775,10,0.2,19,4
'6/5/21','5:00',232.0659046,225.308422,0.261,25.89073793,229.3975462,233.1308621,0.35,-10.66661686,381.3941714,360.8559203,0.322,63.78338851,445.419408,389.3233395,0.444,126.3424966,12.8,93.2,50.7645913,-21.82099969,174.1573898,150.8235899,11,0.2,10,4
'6/5/21','6:00',233.1370791,225.4818999,0.261,29.33018851,229.3921853,233.1975772,0.35,-10.87254829,380.8309377,360.1207788,0.322,64.31726366,453.6347246,388.1821483,0.444,147.4157124,12.7,93.9,57.52852298,-22.25006054,175.6765457,176.0416778,14,0.3,2,5
'6/5/21','7:00',233.6272117,225.4418925,0.261,31.36137625,231.193307,233.3193802,0.35,-6.074494857,381.8238649,360.4175975,0.322,66.4790913,468.6192762,391.5735125,0.444,173.5264948,12.6,93.9,61.53404148,-12.43546353,181.6449197,207.2953094,17,0.4,2,5
'6/5/21','8:00',236.1118733,227.9698422,0.261,31.19552146,234.5524075,236.4970428,0.35,-5.556100857,380.2114897,359.0599226,0.322,65.68809658,472.9966574,387.2703195,0.444,193.0773376,15.8,89.7,60.53075864,-11.24826321,177.4959301,228.0964482,17,0.3,8,4
'6/5/21','9:00',234.1000001,230.3610355,0.261,14.32553487,228.6496941,233.82847,0.35,-14.79650257,379.9855476,360.1291712,0.322,61.66576522,454.7657395,396.8892667,0.444,130.3524162,22.6,69.1,27.15767951,-29.26660655,162.7960234,150.454178,16,0.3,26,4
'6/5/21','10:00',227.7089449,227.4797405,0.261,0.878177778,228.3536929,227.9001847,0.35,1.295737714,382.7873284,364.5346519,0.322,56.68533075,410.4998403,388.4375142,0.444,49.68992365,25.8,57.4,1.646988063,2.53545899,148.0459557,56.73874058,12,0.2,64,4
'6/5/21','11:00',229.3637886,228.4591763,0.261,3.46594751,235.5682658,228.3595227,0.35,20.59640886,384.9303415,364.569197,0.322,63.23336801,420.7882177,379.2084681,0.444,93.64808468,26.7,55.7,6.480738446,40.18144028,164.6518754,106.6116749,12,0.2,63,4
'6/5/21','12:00',225.6770965,228.8166045,0.261,-12.02876628,231.0683551,226.9488899,0.35,11.76990057,391.473708,367.4258251,0.322,74.68286615,405.0796865,382.7088136,0.444,50.38484887,30.3,47,-22.22493559,22.68943601,192.1579051,56.67907297,10,0.2,68,4
'6/5/21','13:00',224.7072487,226.6155228,0.261,-7.311395019,232.1772524,225.04452,0.35,20.37923543,396.9937325,368.6393268,0.322,88.05716056,406.3640073,372.9750517,0.444,75.20035045,30.5,46,-13.49999257,39.26021282,226.4205351,84.53888178,8,0.2,70,3
