SO2_ae,SO2_we,NO2_ae,NO2_we,CO_ae,CO_we,O3_we,O3_ae,SO2_Mompean,NO2_Mompean,CO_Mompean,O3_Mompean,Temperatura,Humedad
342,367,232,245,366,482,225,243,4,29,0.4,15,15.2,90.8
341,367,231,242,362,452,224,246,4,23,0.4,23,17.8,80.9
340,365,230,241,358,431,224,247,4,22,0.3,29,19.3,74.5
340,364,229,240,355,424,226,245,3,19,0.3,39,19.4,73.6
339,363,229,242,356,433,227,243,3,23,0.4,36,18.3,77.6
339,364,229,241,356,430,226,242,3,18,0.4,43,18.0,78.2
339,363,229,242,358,434,225,240,3,20,0.3,39,16.8,81.7
339,362,229,244,359,437,224,238,3,24,0.3,29,15.5,86.4
340,364,230,245,362,450,222,237,3,29,0.4,14,14.3,89.3
340,363,230,246,362,453,223,237,3,31,0.4,14,13.9,93.8
341,365,230,246,366,482,220,236,5,40,0.5,3,13.0,92.1
341,366,230,246,366,492,218,236,6,40,0.5,1,11.8,92.8
342,367,231,246,366,496,217,236,6,34,0.4,1,11.5,93.8
342,367,231,245,367,495,215,235,5,32,0.4,1,11.3,94.1
342,367,231,245,366,486,215,235,4,27,0.4,2,11.1,95.0
341,366,231,244,365,468,212,234,3,21,0.3,1,10.7,94.8
341,366,231,243,364,466,212,233,3,20,0.3,3,10.5,94.8
342,367,231,243,365,464,210,232,3,18,0.3,2,10.2,95.0
341,367,230,242,365,464,208,231,3,16,0.3,3,9.63,93.9
342,366,231,243,364,445,210,232,2,16,0.2,1,9.21,95.4
342,366,231,243,364,449,209,231,3,20,0.3,1,8.89,94.3
342,366,231,245,365,459,213,232,4,22,0.3,1,8.69,95.2
343,369,232,246,368,505,215,235,6,34,0.5,1,9.26,95.4
343,369,232,246,366,508,215,237,5,30,0.5,1,10.4,93.0
343,368,232,246,364,500,217,239,4,35,0.4,15,12.2,89.0
343,368,232,246,362,503,220,241,4,38,0.6,2,14.6,84.6
342,367,231,244,355,461,221,242,3,29,0.4,10,16.7,83.7
341,367,230,243,352,455,221,242,3,28,0.4,12,17.5,81.0
341,366,230,242,349,447,222,242,2,28,0.4,17,18.3,77.4
340,364,229,243,348,441,222,241,2,39,0.4,10,18.5,74.5
340,365,229,243,346,440,222,240,3,38,0.4,10,17.8,75.6
340,364,229,241,348,425,221,237,2,21,0.4,27,16.7,79.0
340,363,230,244,349,438,223,237,3,29,0.4,27,15.9,82.0
340,363,230,246,353,452,222,235,2,37,0.4,10,15.2,84.4
340,363,230,248,355,466,222,235,3,46,0.4,2,14.0,89.1
341,364,230,248,358,480,221,235,3,45,0.5,1,14.0,89.4
340,364,230,246,358,482,218,233,2,39,0.5,1,12.8,92.6
341,366,230,245,356,469,214,232,2,30,0.4,1,11.5,93.4
342,367,231,245,356,471,212,231,3,27,0.4,1,10.9,95.1
342,368,231,244,356,462,211,231,2,19,0.3,1,11.0,94.8
342,367,232,244,356,460,212,233,3,19,0.3,2,12.0,94.9
341,367,231,243,356,456,212,233,2,17,0.3,2,12.4,94.1
341,367,231,243,355,453,212,233,2,16,0.3,2,12.8,93.8
341,366,231,243,356,449,212,233,2,19,0.3,1,13.1,93.3
341,368,231,243,356,462,212,233,3,22,0.3,1,13.0,93.2
341,368,231,244,357,464,213,234,3,23,0.4,1,13.3,92.8
